Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais;Inconsistente;Total
270915 Teotônio Vilela;4;36;49;31;32;35;57;64;54;41;34;27;19;11;5;3;3;0;0;505
270920 Traipu;2;17;14;22;17;12;16;8;11;11;21;21;11;11;7;5;10;10;0;226
270930 União dos Palmares;23;161;215;162;176;195;245;224;204;172;175;179;129;85;40;53;33;36;0;2.507
270940 Viçosa;7;33;52;38;46;57;88;79;53;53;60;65;65;47;32;12;22;31;0;840
270000 Município ignorado - AL;0;0;1;4;5;6;5;7;4;2;7;8;4;2;6;5;3;0;0;69
280010 Amparo de São Francisco;0;3;2;3;6;7;5;4;4;4;7;7;4;5;6;2;1;1;0;71
280020 Aquidabã;8;54;60;35;29;28;43;49;43;30;23;22;27;24;11;9;9;11;0;515
280030 Aracaju;3.206;16.118;17.382;14.193;12.935;15.182;20.664;24.733;23.078;16.720;13.725;12.793;10.999;9.391;6.996;4.917;3.567;5.444;0;232.043
280040 Arauá;0;3;13;4;5;3;24;12;9;14;7;10;5;6;2;1;4;3;0;125
280050 Areia Branca;2;26;37;37;29;23;33;27;38;24;17;26;16;9;5;9;6;2;0;366
280060 Barra dos Coqueiros;110;471;403;334;290;328;351;454;392;341;254;216;140;92;79;41;33;44;0;4.373
280067 Boquim;6;39;40;36;26;34;67;77;64;45;37;60;38;31;20;25;20;16;0;681
280070 Brejo Grande;0;2;1;1;5;6;5;3;2;4;2;5;0;1;0;0;0;3;0;40
280100 Campo do Brito;3;28;42;29;36;34;52;50;32;32;21;27;27;22;13;6;6;16;0;476
280110 Canhoba;0;3;4;4;4;1;8;6;3;2;2;6;0;1;0;1;2;0;0;47
280120 Canindé de São Francisco;2;14;25;19;16;19;23;24;27;23;24;30;10;16;9;10;5;9;0;305
280130 Capela;6;62;60;62;45;41;71;85;65;53;38;45;29;30;19;14;8;25;0;758
280140 Carira;2;19;16;12;18;16;36;29;24;17;19;23;12;16;8;1;4;7;0;279
280150 Carmópolis;57;355;475;413;366;315;449;537;473;345;229;179;94;52;19;9;5;11;0;4.383
280160 Cedro de São João;3;14;13;16;10;8;19;17;16;8;22;10;10;5;8;7;4;9;0;199
280170 Cristinápolis;0;13;9;10;9;8;10;20;5;14;5;3;7;6;1;0;3;2;0;125
280190 Cumbe;1;6;6;3;4;3;9;7;3;1;4;6;2;1;3;1;0;0;0;60
280200 Divina Pastora;3;5;15;15;8;7;13;12;10;3;7;9;7;3;1;0;2;1;0;121
280210 Estância;51;249;272;237;200;252;430;541;369;286;197;203;173;127;76;63;62;75;0;3.863
280220 Feira Nova;1;1;5;2;3;1;5;4;5;3;1;0;2;5;2;0;0;1;0;41
280230 Frei Paulo;3;13;17;22;15;24;32;28;24;19;28;26;34;22;14;6;7;14;0;348
280240 Gararu;1;6;8;4;6;7;11;16;4;6;4;9;11;3;2;1;2;4;0;105
280250 General Maynard;1;13;12;12;10;5;10;17;12;10;7;9;4;4;3;0;1;1;0;131
280260 Gracho Cardoso;0;5;6;4;6;5;7;5;4;3;7;4;2;3;4;1;4;2;0;72
280270 Ilha das Flores;0;4;5;6;7;5;11;3;4;4;2;8;4;5;3;0;5;5;0;81
280280 Indiaroba;0;15;12;7;6;2;8;16;14;9;5;11;7;3;3;5;4;3;0;130
280290 Itabaiana;36;264;359;286;307;370;491;521;427;333;315;283;254;176;124;100;77;124;0;4.847
280300 Itabaianinha;8;32;35;34;38;37;39;68;54;27;30;43;38;24;17;6;6;12;0;548
280310 Itabi;1;16;5;4;2;8;8;12;4;8;4;14;9;11;2;3;2;2;0;115
280320 Itaporanga d'Ajuda;10;45;76;71;61;90;116;159;157;109;61;43;48;26;18;24;10;13;0;1.137
